Account,User Name,Followers at Posting,Created,Type,Likes,Retweets,URL,Message,Screen Name,Link 1,Final Link 1,Link 2,Final Link 2,Score
Morten Bødskov,mfMorten,11312,2019-05-01 17:58:00 EET,Link,12,3,https://twitter.com/mfMorten/status/1123617577182408704,Spot on: Kranføreren Ernst tordner mod Løkke: Jeg kan sgu da ikke vente til 2040 #dkpol https://www.a4nu.dk/artikel/kranfoereren-ernst-om-loekkes-pensionsid-jeg-kan-sgu-ikke-vente-til-2040,mfMorten,https://www.a4nu.dk/artikel/kranfoereren-ernst-om-loekkes-pensionsid-jeg-kan-sgu-ikke-vente-til-2040,https://www.a4nu.dk/artikel/kranfoereren-ernst-om-loekkes-pensionsid-jeg-kan-sgu-ikke-vente-til-2040,,,1.3636363636363635
Morten Bødskov,mfMorten,11312,2019-05-01 11:06:47 EET,Photo,41,4,https://twitter.com/mfMorten/status/1123514091522404354,"“Du mangler lidt farve i toppen, Morten” 😎 God 1. maj til alle. Propfyldte lokaler og høj stemning på Vestegnen 💪🌹🇩🇰 #dkpol https://t.co/5xz5jqVQWB",mfMorten,https://t.co/5xz5jqVQWB,https://twitter.com/mfMorten/status/1123514091522404354/photo/1,,,3.0
Morten Bødskov,mfMorten,11312,2019-05-01 08:36:04 EET,Photo,13,1,https://twitter.com/mfMorten/status/1123476160527073280,Dejlig dag 💪🌹🇩🇰 God 1. maj til alle! #dkpol #1maj https://t.co/PB1CTN5GC6,mfMorten,https://t.co/PB1CTN5GC6,https://twitter.com/mfMorten/status/1123476160527073280/photo/1,,,-1.1428571428571428
Morten Bødskov,mfMorten,11309,2019-04-28 16:06:59 EET,Photo,77,4,https://twitter.com/mfMorten/status/1122502474458435584,"Valgkamp? Hvem interesserer sig for det? Forza BIF 💪💛💙 Dejligt med besøg af @SorenPape på @BrondbyIF Stadion i dag. (PS: Søren mener, at der kun sker spændende ting i 1. division @viborgff 😎) #dkpol https://t.co/VaZ665e0F2",mfMorten,https://t.co/VaZ665e0F2,https://twitter.com/mfMorten/status/1122502474458435584/photo/1,,,5.0625
Morten Bødskov,mfMorten,11309,2019-04-28 11:19:11 EET,Link,5,1,https://twitter.com/mfMorten/status/1122430047950921728,Det stopper så i dag! OK! Forza @BrondbyIF 💪💛💙 #BIFEFB #VSTGN #DKPOL https://www.jv.dk/artikel/2710494,mfMorten,https://www.jv.dk/artikel/2710494,https://www.jv.dk/sport/Tre-sejre-i-tre-kampe-EfB-har-haft-krammet-paa-Broendby-i-denne-saeson/artikel/2710494,,,-2.0
Morten Bødskov,mfMorten,11309,2019-04-28 07:37:32 EET,Link,62,9,https://twitter.com/mfMorten/status/1122374266018775040,Panik: Først håner Løkke forslag fra ⁦⁦@Spolitik⁩ om ret for nedslidte til tidligere pension. Så er vores forslag forligsbrud. Og vi smides ud af forhandlinger. Nu vil Løkke så selv ændre pensionsalderen. Total panik. Udskriv nu det valg! #dkpol https://www.berlingske.dk/politik/statsministeren-foreslaar-kompromis-om-danskernes-pensionsalder-vi-kan,mfMorten,https://www.berlingske.dk/politik/statsministeren-foreslaar-kompromis-om-danskernes-pensionsalder-vi-kan,https://www.berlingske.dk/politik/statsministeren-foreslaar-kompromis-om-danskernes-pensionsalder-vi-kan,,,5.916666666666667
Morten Bødskov,mfMorten,11298,2019-04-25 14:55:35 EET,Link,6,1,https://twitter.com/mfMorten/status/1121397341477658624,No matter what! Det bliver en dejlig sommer! @springsteen #dkpol https://twitter.com/springsteen/status/1121383353918337024,mfMorten,https://twitter.com/springsteen/status/1121383353918337024,https://twitter.com/springsteen/status/1121383353918337024,,,-1.7142857142857142
Morten Bødskov,mfMorten,11298,2019-04-25 08:45:57 EET,Link,3,3,https://twitter.com/mfMorten/status/1121304320182575104,Surprise! Efter intern uenighed: Regeringen dropper naturmål #dkpol https://www.altinget.dk/artikel/regeringen-dropper-naturmaal-kort-foer-valget-efter-kuldsejlede-forhandlinger,mfMorten,https://www.altinget.dk/artikel/regeringen-dropper-naturmaal-kort-foer-valget-efter-kuldsejlede-forhandlinger,https://www.altinget.dk/artikel/regeringen-dropper-naturmaal-kort-foer-valget-efter-kuldsejlede-forhandlinger,,,-2.0
Morten Bødskov,mfMorten,11294,2019-04-24 11:25:28 EET,Tweet,1,2,https://twitter.com/mfMorten/status/1120982075073544192,"RT @GoogleSucesOnl: Bülow og @mfMorten taler iværksætteri på Vækstegnen. Sammen med @KopenhagenFurDK, @Ivaerksaetterne og 200 iværksættere…",mfMorten,,,,,-5.666666666666667
Morten Bødskov,mfMorten,11294,2019-04-24 11:25:10 EET,Tweet,2,3,https://twitter.com/mfMorten/status/1120982002847629312,RT @Ivaerksaetterne: Hvordan styrker vi iværksætteri? Vi taler både lokalt og nationalt med 200 iværksættere og politikere til debat i dag…,mfMorten,,,,,-3.4
