Account,User Name,Followers at Posting,Created,Type,Likes,Retweets,URL,Message,Screen Name,Link 1,Final Link 1,Link 2,Final Link 2,Score
Søren Espersen,espersendf,9015,2019-05-02 11:32:47 EET,Tweet,10,4,https://twitter.com/espersendf/status/1123883020904222720,RT @DFUngdom: Er du kommet i sommerhumør? 😄 Eller er du krænket og vintertrist? 😡 Vi er ligesom @espersendf i sommerhumør! ☀️#dkpol #dkmed…,espersendf,,,,,-1.1428571428571428
Søren Espersen,espersendf,9015,2019-05-02 08:16:36 EET,Link,61,12,https://twitter.com/espersendf/status/1123833649886003200,"Nå, nu må man altså heller ikke længere klæde sig festligt ud som Barack og Michelle... Hold nu kæft, hvor er det hele efterhånden blevet for meget. Hør nu her, I skrupkedelige smagsdommere på Herning Gymnasium: Se nu lige at komme i sommerhumør... #dkpol https://jp.dk/d?id=11351935",espersendf,https://jp.dk/d?id=11351935,https://jyllands-posten.dk/indland/ECE11351935/jeg-havde-slet-ikke-set-det-komme-vi-gjorde-det-jo-ikke-for-at-skabe-konflikt/,,,4.5625
Søren Espersen,espersendf,9015,2019-05-02 07:47:42 EET,Tweet,31,15,https://twitter.com/espersendf/status/1123826374723108871,"RT @SusieJessen: I dag klokken 10.15 er justitsministeren kaldt i samråd af @DanskDf1995 og @Kristianthdahl for at svare på, hvordan vi s…",espersendf,,,,,1.5862068965517242
Søren Espersen,espersendf,9011,2019-05-01 12:15:45 EET,Link,6,1,https://twitter.com/espersendf/status/1123531446407323648,"Super initiativ, men de fem borgmestre mangler altså lige en vikingeborg - nemlig den, der ligger på Skånes sydkyst, og er opført af Harald Blåtand som de øvrige. Kommunen hedder i øvrigt Trelleborg https://www.dr.dk/nyheder/regionale/hovedstadsomraadet/vikingeborge-skal-have-samme-status-som-pyramiderne-og-venedig",espersendf,https://www.dr.dk/nyheder/regionale/hovedstadsomraadet/vikingeborge-skal-have-samme-status-som-pyramiderne-og-venedig,https://www.dr.dk/nyheder/regionale/hovedstadsomraadet/vikingeborge-skal-have-samme-status-som-pyramiderne-og-venedig,,,-3.7142857142857144
Søren Espersen,espersendf,9011,2019-05-01 12:03:51 EET,Link,44,8,https://twitter.com/espersendf/status/1123528451288371202,"Bryder mig ikke det mindste om, at du gør mennesker op i hudfarver. Lad racisterne om det, Uffe. I DF er vi lykkeligvis totalt farveblinde. https://twitter.com/uffeelbaek/status/1123515914601869312",espersendf,https://twitter.com/uffeelbaek/status/1123515914601869312,https://twitter.com/uffeelbaek/status/1123515914601869312,,,2.0
Søren Espersen,espersendf,9011,2019-05-01 12:01:03 EET,Link,9,2,https://twitter.com/espersendf/status/1123527745202458625,"Enig med Jeppe. Det er faktisk kun Uffe Elbæk og Rasmus Paludan-typer, som overhovedet interesserer sig for folks hudfarve. I DF er vi heldigvis - og har altid været - totalt farveblinde. https://twitter.com/mfjeppejakobsen/status/1123524941666713608",espersendf,https://twitter.com/mfjeppejakobsen/status/1123524941666713608,https://twitter.com/mfjeppejakobsen/status/1123524941666713608,,,-2.3636363636363638
Søren Espersen,espersendf,9011,2019-05-01 10:55:18 EET,Video,15,13,https://twitter.com/espersendf/status/1123511197867941888,Vesten gør Islams undertrykkelse til det normale. Del gerne. https://youtu.be/DN78bHH9UJo via @YouTube,espersendf,https://youtu.be/DN78bHH9UJo,https://www.youtube.com/watch?v=DN78bHH9UJo&feature=youtu.be,,,1.6470588235294117
Søren Espersen,espersendf,9011,2019-05-01 08:53:49 EET,Link,22,20,https://twitter.com/espersendf/status/1123480628081696770,Siden World Trade Center er 150.000 mennesker myrdet af islamisterne https://ekstrabladet.dk/nyheder/terror/naesten-150.000-har-mistet-livet-i-islamistiske-angreb/7615546,espersendf,https://ekstrabladet.dk/nyheder/terror/naesten-150.000-har-mistet-livet-i-islamistiske-angreb/7615546,https://ekstrabladet.dk/nyheder/terror/naesten-150.000-har-mistet-livet-i-islamistiske-angreb/7615546,,,1.5555555555555556
Søren Espersen,espersendf,9011,2019-05-01 08:07:16 EET,Tweet,24,4,https://twitter.com/espersendf/status/1123468912887255041,"Det er blevet hævdet, at jeg ikke tager miljøet alvorligt, men det er løgn i stor stil. Således har Yvette og jeg netop haft en ægteskabelig krise på spørgsmålet om, hvorvidt æggeskaller skal under madaffald eller restaffald....",espersendf,,,,,-1.8928571428571428
Søren Espersen,espersendf,9005,2019-05-01 06:58:42 EET,Tweet,9,0,https://twitter.com/espersendf/status/1123451655981273089,@marcus_stoltze Søren Espersen...?,espersendf,,,,,-6.0
Søren Espersen,espersendf,9005,2019-05-01 06:45:16 EET,Tweet,15,0,https://twitter.com/espersendf/status/1123448278153084928,"@HoghSorensen Regner som en selvfølge, at du, Erik, efter at have fotograferet den, samlede posen op og smed den i den nærmeste skraldespand - eller hwa...?",espersendf,,,,,-3.6
Søren Espersen,espersendf,9005,2019-05-01 06:07:55 EET,Link,11,9,https://twitter.com/espersendf/status/1123438878340321280,Søren Espersen: Det må være slut med det umulige forsøg at gøre grækere til tyskere og omvendt #dkpol https://jp.dk/d?id=11345152,espersendf,https://jp.dk/d?id=11345152,https://jyllands-posten.dk/debat/international/ECE11345152/unionisterne-skaelver-ved-tanken-om-euvalget/,,,-1.35
Søren Espersen,espersendf,9005,2019-04-30 19:01:16 EET,Tweet,11,3,https://twitter.com/espersendf/status/1123271111121211392,RT @Hjemmevaernet: Takket være Marinehjemmeværnets hurtige indsats kom en kitesurfer godt i land efter en tur på Nyborg Fjord. #hjv #vistil…,espersendf,,,,,-3.9285714285714284
Søren Espersen,espersendf,9005,2019-04-30 18:37:15 EET,Link,48,11,https://twitter.com/espersendf/status/1123265064776105984,Martin Henriksen: “Vi kommer nærmere et tørklædeforbud for offentligt ansatte” https://ditoverblik.dk/martin-henriksen-vi-kommer-naermere-et-toerklaedeforbud-for-offentligt-ansatte/ via @Ditoverblik.dk,espersendf,https://ditoverblik.dk/martin-henriksen-vi-kommer-naermere-et-toerklaedeforbud-for-offentligt-ansatte/,https://ditoverblik.dk/martin-henriksen-vi-kommer-naermere-et-toerklaedeforbud-for-offentligt-ansatte/,,,2.185185185185185
Søren Espersen,espersendf,9005,2019-04-30 12:12:20 EET,Link,5,1,https://twitter.com/espersendf/status/1123168195903414272,"DF om forskellen på dem og Nye Borgerlige: De er liberalister, vi er nationalkonservative: https://denkorteavis.dk/2019/df-kritik-af-nye-borgerlige-de-er-liberalister-vi-er-nationalkonservative/?utm_medium=newsletter_ubivox&utm_source=20190430_+Dansk+politik%3A+Islam+er+elefanten+i+rummet+30.+april+2019&utm_campaign=+Dansk+politik%3A+Islam+er+elefanten+i+rummet+30.+april+2019",espersendf,https://denkorteavis.dk/2019/df-kritik-af-nye-borgerlige-de-er-liberalister-vi-er-nationalkonservative/?utm_medium=newsletter_ubivox&utm_source=20190430_+Dansk+politik%3A+Islam+er+elefanten+i+rummet+30.+april+2019&utm_campaign=+Dansk+politik%3A+Islam+er+elefanten+i+rummet+30.+april+2019,https://denkorteavis.dk/2019/df-kritik-af-nye-borgerlige-de-er-liberalister-vi-er-nationalkonservative/?utm_medium=newsletter_ubivox&utm_source=20190430_+Dansk+politik%3A+Islam+er+elefanten+i+rummet+30.+april+2019&utm_campaign=+Dansk+politik%3A+Islam+er+elefanten+i+rummet+30.+april+2019,,,-4.5
Søren Espersen,espersendf,9005,2019-04-30 10:20:33 EET,Link,5,1,https://twitter.com/espersendf/status/1123140065872490496,"Det synes jeg da ikke, Marlene Wind eller nogen af de mange andre eksperter har fortalt noget om.... (!)https://ditoverblik.dk/penge-stroemmer-til-storbritannien/ via @Ditoverblik.dk",espersendf,https://ditoverblik.dk/penge-stroemmer-til-storbritannien/,https://ditoverblik.dk/penge-stroemmer-til-storbritannien/,,,-4.5
Søren Espersen,espersendf,9002,2019-04-29 18:07:09 EET,Video,2,2,https://twitter.com/espersendf/status/1122895103411019776,Alt for svært at adoptere! Del gerne. https://youtu.be/ulMgAVjh34I via @YouTube,espersendf,https://youtu.be/ulMgAVjh34I,https://www.youtube.com/watch?v=ulMgAVjh34I&feature=youtu.be,,,-4.75
Søren Espersen,espersendf,9002,2019-04-29 17:04:19 EET,Link,7,2,https://twitter.com/espersendf/status/1122879290071187457,"Når jeg ser på Socialdemokratiets økonomiske politik, savner jeg svar på nogle centrale spørgsmål på seks områder. https://www.berlingske.dk/kommentarer/det-er-topmaalet-af-arrogance-ikke-at-vise-hvordan-man-finansierer-sin",espersendf,https://www.berlingske.dk/kommentarer/det-er-topmaalet-af-arrogance-ikke-at-vise-hvordan-man-finansierer-sin,https://www.berlingske.dk/kommentarer/det-er-topmaalet-af-arrogance-ikke-at-vise-hvordan-man-finansierer-sin,,,-3.111111111111111
