Account,User Name,Followers at Posting,Created,Type,Likes,Retweets,URL,Message,Screen Name,Link 1,Final Link 1,Link 2,Final Link 2,Score
Kristian Jensen,Kristian_Jensen,57788,2019-05-02 11:13:34 EET,Photo,8,5,https://twitter.com/Kristian_Jensen/status/1123878184968249344,"Stort tillykke til @Hojskolerne og særligt @roeddinghskole med 175 års fødselsdagen. Vi har brug for Højskolerne til at udfordre, flytte og forme mennesker opfattelse af sig selv og samfundet #dkpol #dkkultur https://t.co/m9ArjO5F3I",Kristian_Jensen,https://t.co/m9ArjO5F3I,https://twitter.com/Kristian_Jensen/status/1123878184968249344/photo/1,,,-1.3076923076923077
Kristian Jensen,Kristian_Jensen,57768,2019-05-01 18:12:24 EET,Link,29,3,https://twitter.com/Kristian_Jensen/status/1123621199836327936,Dejlig nyhed - Danmarks ungdomsarbejdsløshed er blandt de laveste i EU og faldende. Godt budskab til arbejderne på #1maj #dkpol https://twitter.com/nploug/status/1123616899902967808,Kristian_Jensen,https://twitter.com/nploug/status/1123616899902967808,https://twitter.com/nploug/status/1123616899902967808,,,-1.65625
Kristian Jensen,Kristian_Jensen,57768,2019-05-01 15:23:28 EET,Tweet,2,0,https://twitter.com/Kristian_Jensen/status/1123578684043079680,@jesbc @P_Sondergaard @PolicyWatchdk Det er en mikrofon 😊🎤,Kristian_Jensen,,,,,-25.0
Kristian Jensen,Kristian_Jensen,57768,2019-05-01 10:37:15 EET,Tweet,0,1,https://twitter.com/Kristian_Jensen/status/1123506657395449857,@jonasholmdk @StemLAURITZEN @venstredk Du skulle tage og genlæse artiklen og hvis du fortsat er i tvivl kan du læse Karstens Tweet fra i går,Kristian_Jensen,,,,,-52.0
Kristian Jensen,Kristian_Jensen,57768,2019-05-01 07:16:50 EET,Link,48,6,https://twitter.com/Kristian_Jensen/status/1123456222039085056,Vi har brug for at stoppe med afbrænding af alt for meget affald. I stedet for at sætte ild til affald skal det genbruges og ses som en ressource. Det præsenterer regeringen i dag et ambitiøst udspil for. Mindre røg - mere genbrug. https://www.fm.dk/nyheder/pressemeddelelser/2019/05/reform-skal-sikre-at-mindre-maengder-affald-gaer-op-i-roeg #dkpol #sdg12,Kristian_Jensen,https://www.fm.dk/nyheder/pressemeddelelser/2019/05/reform-skal-sikre-at-mindre-maengder-affald-gaer-op-i-roeg,https://www.fm.dk/nyheder/pressemeddelelser/2019/05/reform-skal-sikre-at-mindre-maengder-affald-gaer-op-i-roeg,,,-1.0740740740740742
Kristian Jensen,Kristian_Jensen,57759,2019-04-30 23:50:16 EET,Tweet,14,5,https://twitter.com/Kristian_Jensen/status/1123343839459196933,RT @StemLAURITZEN: Venstre har hele tiden været for fair beskatning men jeg støtter fortsat ikke en digitalomsætningsskat i EU. Som jeg er…,Kristian_Jensen,,,,,-2.8421052631578947
Kristian Jensen,Kristian_Jensen,57759,2019-04-30 15:11:15 EET,Tweet,3,0,https://twitter.com/Kristian_Jensen/status/1123213222239244288,@flemmingfage Har du et problem med at flygtninge tjener deres egne penge i stedet for at få fra det offentlige??,Kristian_Jensen,,,,,-18.333333333333332
Kristian Jensen,Kristian_Jensen,57759,2019-04-30 13:59:30 EET,Tweet,0,0,https://twitter.com/Kristian_Jensen/status/1123195167618498560,@elisabethgeday Tillykke. De er heldige at få dig som direktør,Kristian_Jensen,,,,,-110.0
Kristian Jensen,Kristian_Jensen,57759,2019-04-30 11:26:08 EET,Tweet,4,0,https://twitter.com/Kristian_Jensen/status/1123156571863830530,@MikkelNilsson1 @BosseStine dig,Kristian_Jensen,,,,,-13.75
Kristian Jensen,Kristian_Jensen,57759,2019-04-30 07:24:34 EET,Link,2,0,https://twitter.com/Kristian_Jensen/status/1123095780145926145,@PaulaLarrain1 Mener du sådan her: https://www.sondagsavisen.dk/forsiden/2015-03-05-kristian-jensen-danmark-er-for-dem-der-kan-og-vil/ for at tage et eksempel tilbage fra marts 2015??,Kristian_Jensen,https://www.sondagsavisen.dk/forsiden/2015-03-05-kristian-jensen-danmark-er-for-dem-der-kan-og-vil/,https://www.sondagsavisen.dk/forsiden/2015-03-05-kristian-jensen-danmark-er-for-dem-der-kan-og-vil/,,,-30.5
Kristian Jensen,Kristian_Jensen,57759,2019-04-30 07:05:00 EET,Link,247,15,https://twitter.com/Kristian_Jensen/status/1123090855928188928,"Måske har de fundet ud af, at højrepopulismen kun tilbyder had, men ingen løsninger på samfundets problemer. #eupol #dkpol https://twitter.com/dr2deadline/status/1122968871441399809",Kristian_Jensen,https://twitter.com/dr2deadline/status/1122968871441399809,https://twitter.com/dr2deadline/status/1122968871441399809,,,4.295081967213115
Kristian Jensen,Kristian_Jensen,57759,2019-04-30 07:03:08 EET,Link,370,44,https://twitter.com/Kristian_Jensen/status/1123090384618426368,Integration er også succeshistorier. Flere flygtninge i arbejde er en milliard gevinst for samfundet. Husk også at rose de mange flygtninge og familiesammenførte som gøre Danmark rigere https://www.dr.dk/nyheder/regionale/midtvest/milliardgevinst-til-staten-over-dobbelt-saa-mange-flygtninge-kommer-i-job #dkpol,Kristian_Jensen,https://www.dr.dk/nyheder/regionale/midtvest/milliardgevinst-til-staten-over-dobbelt-saa-mange-flygtninge-kommer-i-job,https://www.dr.dk/nyheder/regionale/midtvest/milliardgevinst-til-staten-over-dobbelt-saa-mange-flygtninge-kommer-i-job,,,6.786885245901639
