Account,User Name,Followers at Posting,Created,Type,Likes,Retweets,URL,Message,Screen Name,Link 1,Final Link 1,Link 2,Final Link 2,Score
Kenneth K. Berth,Kristensenberth,3301,2019-04-23 10:43:17 EET,Tweet,55,12,https://twitter.com/Kristensenberth/status/1120609074096300033,"Virkelig sygt at en jurist-Bjørn Elmqvist-kan sidde på @radio24syv og plæderer for at @Stram_Kurs skal forbydes i henhold til Grundloven pga den vold, der UDLØSES, når Paludan demonstrere. Kan huske da @DFUngdom altid var udsat for voldsomme protester. Skulle vi forbydes? #dkpol",Kristensenberth,,,,,2.4814814814814814
Kenneth K. Berth,Kristensenberth,3264,2019-04-15 20:26:59 EET,Tweet,18,3,https://twitter.com/Kristensenberth/status/1117856862743846913,"Forfærdende billeder af Notre Dame i brand. En af verdens smukkeste kirker, som jeg havde glædet mig til at vise mine børn... Det er så sørgeligt. #NotreDame #dkpol",Kristensenberth,,,,,-1.2857142857142858
Kenneth K. Berth,Kristensenberth,3201,2019-04-03 13:29:31 EET,Tweet,5,0,https://twitter.com/Kristensenberth/status/1113403147412803584,"@aka_TBA Stadig løgn fra en fake profil, der ikke står frem med navn!",Kristensenberth,,,,,-5.4
Kenneth K. Berth,Kristensenberth,3201,2019-04-03 12:41:09 EET,Tweet,64,16,https://twitter.com/Kristensenberth/status/1113390977341960192,"Der huserer på Twitter en historie om, at jeg på et møde i dag på Øregårds Gymnasium skulle have nægtet at give hånd til en pige med tørklæde. Det er løgn fra ende til anden. Jeg så ikke en gang en pige med hovedtørklæde på mødet. #dkpol",Kristensenberth,,,,,2.962962962962963
Kenneth K. Berth,Kristensenberth,3201,2019-04-03 12:24:31 EET,Tweet,0,1,https://twitter.com/Kristensenberth/status/1113386789987934208,@aka_TBA @IAAFR1 Det er ganske enkelt LØGN! Jeg har ikke nægtet at give hånd til nogen som helst. Jeg har ikke engang set en pige med tørklæde til dagens møde.,Kristensenberth,,,,,-27.0
Kenneth K. Berth,Kristensenberth,3200,2019-04-02 19:31:40 EET,Tweet,17,1,https://twitter.com/Kristensenberth/status/1113131900942643200,"Selvfølgelig skal @theresa_may have sin udsættelse. Men man bliver efterhånden bekymret på vegne af de mange briter, der har stemt for at komme ud af EU. Kommer de nogensinde det...? #dkpol",Kristensenberth,,,,,-1.5
Kenneth K. Berth,Kristensenberth,3200,2019-04-02 18:06:37 EET,Tweet,4,1,https://twitter.com/Kristensenberth/status/1113110495446339585,"@MBrgger @DanskDf1995 @espersendf @Pia_Kjaersgaard @skaarup_df Nu må @MBrgger forstå:Det er IKKE @DanskDf1995 der har lukket radio24syv. Det er Berlingske Media. Det minder mere om mere om dit stunt, da du gik undercover i @DanskDf1995 for at “afsløre” os. Der er ikke noget at afsløre. Hold nu inde og genetabler den profesionelle integritet",Kristensenberth,,,,,-5.4
Kenneth K. Berth,Kristensenberth,3197,2019-04-01 22:45:59 EET,Link,36,12,https://twitter.com/Kristensenberth/status/1112818412353413126,"Undskyld men jeg tror ikke @mattiastesfaye over en dørtærskel! Der sker det, der plejer, når @Spolitik skal have magten - @radikale kommer til at bestemme! https://ekstrabladet.dk/nyheder/politik/danskpolitik/radikale-kan-ikke-stoette-regering-med-for-stram-udlaendingepolitik/7579652 #dkpol",Kristensenberth,https://ekstrabladet.dk/nyheder/politik/danskpolitik/radikale-kan-ikke-stoette-regering-med-for-stram-udlaendingepolitik/7579652,https://ekstrabladet.dk/nyheder/politik/danskpolitik/radikale-kan-ikke-stoette-regering-med-for-stram-udlaendingepolitik/7579652,,,1.6551724137931034
Kenneth K. Berth,Kristensenberth,3197,2019-04-01 20:49:27 EET,Link,18,5,https://twitter.com/Kristensenberth/status/1112789085893033985,"Den stramme danske udlændingepolitik kan være på vej i respirator! @oestergaard vil “aktivt bekæmpe” at @Spolitik Mette Frederiksen bliver statsminister, hvis hun ikke giver sig! Skal vi se @radikale afmontere Danmarks forsvar mod masseindvandring https://www.berlingske.dk/politik/morten-oestergaard-stiller-krav-til-mette-f-tag-et-opgoer-med-dfs #dkpol",Kristensenberth,https://www.berlingske.dk/politik/morten-oestergaard-stiller-krav-til-mette-f-tag-et-opgoer-med-dfs,https://www.berlingske.dk/politik/morten-oestergaard-stiller-krav-til-mette-f-tag-et-opgoer-med-dfs,,,-1.2608695652173914
Kenneth K. Berth,Kristensenberth,3184,2019-03-29 17:09:03 EET,Tweet,12,3,https://twitter.com/Kristensenberth/status/1111646457566842880,"Det er ærgerligt at Underhuset igen har stemt nej til Brexit-aftalen. Der er en risiko for, at briterne nu aldrig kommer ud af EU, som et flertal af briterne vil Det ser ud som om Labour og SNP er mere optaget af at få et valg end af at røgte det britiske folks interesser #dkpol",Kristensenberth,,,,,-1.8
Kenneth K. Berth,Kristensenberth,3184,2019-03-29 13:19:34 EET,Photo,34,7,https://twitter.com/Kristensenberth/status/1111588706639642624,"Jeg er sikker på, at @PSkipperEL også synes det er awesome, at lærerne på Ørestads Gymnasium har klappet deres elever til frokostpause som tak for deres modtagelse af @MereteRiisager forleden. Personligt er jeg i tvivl om der er nogen, der går op i ordentlig opførsel? #dkpol https://t.co/n95pqCMoaM",Kristensenberth,https://t.co/n95pqCMoaM,https://twitter.com/Kristensenberth/status/1111588706639642624/photo/1,,,2.2777777777777777
Kenneth K. Berth,Kristensenberth,3180,2019-03-27 12:25:16 EET,Tweet,46,11,https://twitter.com/Kristensenberth/status/1110850267006885888,"Har @donaldtusk nogensinde hørt om ordet “demokrati”! Fordi 4 mio mennesker som i forvejen havde stemte for at blive i EU har skrevet under på, at de vil blive i EU så kan man IKKE omgøre en demokratisk beslutning! Demokrati er og bliver åbenbart et fremmedord i EU #dkpol",Kristensenberth,,,,,2.111111111111111
Kenneth K. Berth,Kristensenberth,3142,2019-03-21 23:12:04 EET,Tweet,10,3,https://twitter.com/Kristensenberth/status/1108838712035758080,"Giv nu briterne den udsættelse til 30. juni i stedet for alle de julelege. Vi har brug for tid, så vi sikrer os, at briterne ikke går ud af EU uden en aftale. #dkpol",Kristensenberth,,,,,-2.076923076923077
Kenneth K. Berth,Kristensenberth,3142,2019-03-21 10:42:38 EET,Tweet,13,1,https://twitter.com/Kristensenberth/status/1108650110081216513,"Nu må @donaldtusk holde op med sine julelege. Storbritannien skal have sin udsættelse. Punktum. Stop de skøre krav om at udsættelse forudsætter vedtagelse, så er udsættelsen jo ikke nødvendig... #dkpol",Kristensenberth,,,,,-1.9285714285714286
