Account,User Name,Followers at Posting,Created,Type,Likes,Retweets,URL,Message,Screen Name,Link 1,Final Link 1,Link 2,Final Link 2,Score
Lars Løkke Rasmussen,larsloekke,174222,2019-05-01 15:00:44 EET,Photo,212,29,https://twitter.com/larsloekke/status/1123572967118602240,God 1. maj 😊 https://t.co/6ubmgfcnAm,larsloekke,https://t.co/6ubmgfcnAm,https://twitter.com/larsloekke/status/1123572967118602240/photo/1,,,2.386138613861386
Lars Løkke Rasmussen,larsloekke,174222,2019-05-01 07:53:27 EET,Tweet,317,24,https://twitter.com/larsloekke/status/1123465436778192903,@Spolitik Det skal de skam heller ikke. Der skulle gerne komme en god løsning i morgen 😊 Hav en dejlig 1. maj.,larsloekke,,,,,1.7309644670050761
Lars Løkke Rasmussen,larsloekke,174060,2019-04-30 15:32:05 EET,Native Video,634,55,https://twitter.com/larsloekke/status/1123218467749023744,"Fornøjelse at besøge @astralisgg i dag og spille med nogle af verdens bedste inden for e-sport. Sporten er i rivende udvikling, og den kombinerer benhård træning, sunde sportsvaner og fantastiske vækstmuligheder. Det skal vi understøtte og udbrede #dkpol http://sport.tv2.dk/e-sport/2019-04-27-regeringen-klar-med-ny-strategi-for-e-sport https://t.co/W9X2UL92Cm",larsloekke,https://t.co/W9X2UL92Cm,https://twitter.com/larsloekke/status/1123218467749023744/video/1,http://sport.tv2.dk/e-sport/2019-04-27-regeringen-klar-med-ny-strategi-for-e-sport,http://sport.tv2.dk/e-sport/2019-04-27-regeringen-klar-med-ny-strategi-for-e-sport,4.921428571428572
Lars Løkke Rasmussen,larsloekke,174060,2019-04-30 15:09:08 EET,Photo,110,47,https://twitter.com/larsloekke/status/1123212691508744193,Good talk today with @MichelBarnier on #Brexit. Important to keep safeguarding EU27 unity. We share hope that cross-party talks in London will produce results to help break the deadlock. Ball remains in the UK court https://t.co/Z3G267qPRe,larsloekke,https://t.co/Z3G267qPRe,https://twitter.com/larsloekke/status/1123212691508744193/photo/1,,,1.3771929824561404
Lars Løkke Rasmussen,larsloekke,174060,2019-04-30 15:08:37 EET,Photo,33,6,https://twitter.com/larsloekke/status/1123212562844221441,"Godt møde med @MichelBarnier i dag om #Brexit. Vigtigt at fastholde sammenholdet blandt EU27. Vi deler håbet om, at den tværpolitiske dialog i London vil føre til et kompromis, der bringer os videre. Bolden ligger hos briterne #dkpol https://t.co/A2mTCikoxn",larsloekke,https://t.co/A2mTCikoxn,https://twitter.com/larsloekke/status/1123212562844221441/photo/1,,,-2.923076923076923
Lars Løkke Rasmussen,larsloekke,173997,2019-04-30 01:21:43 EET,Tweet,0,0,https://twitter.com/larsloekke/status/1123004466553393152,@janromme @EmmanuelMacron Nej. Han var på statsbesøg i Danmark.,larsloekke,,,,,-412.0
Lars Løkke Rasmussen,larsloekke,173997,2019-04-29 17:09:21 EET,Tweet,2,0,https://twitter.com/larsloekke/status/1122880556457394176,@KlausHuus @jakob_fuglsang Håber du kom godt i mål. Dejligt at se så mange lige snuppe en halvmarathon en søndag formiddag.,larsloekke,,,,,-103.5
Lars Løkke Rasmussen,larsloekke,173997,2019-04-29 17:07:42 EET,Link,60,15,https://twitter.com/larsloekke/status/1122880142257336320,Fin de la double imposition des retraités danois en France! Suite á le prolongement de la visite du @EmmanuelMacron ont conclu un accord de principe qui élimine la double imposition non raisonnable des retraités danois en France. https://www.skm.dk/aktuelt/presse/pressemeddelelser/2019/april/ny-dansk-fransk-dbo-vil-gavne-danske-virksomheder-og-pensionister-i-frankrig https://t.co/MH8W1yszfu,larsloekke,https://t.co/MH8W1yszfu,https://twitter.com/larsloekke/status/1122880142257336320/photo/1,https://www.skm.dk/aktuelt/presse/pressemeddelelser/2019/april/ny-dansk-fransk-dbo-vil-gavne-danske-virksomheder-og-pensionister-i-frankrig,https://www.skm.dk/aktuelt/presse/pressemeddelelser/2019/april/ny-dansk-fransk-dbo-vil-gavne-danske-virksomheder-og-pensionister-i-frankrig,-1.44
Lars Løkke Rasmussen,larsloekke,173997,2019-04-29 17:06:09 EET,Link,138,14,https://twitter.com/larsloekke/status/1122879751549485056,"Slut med dobbeltbeskatning af danske pensionister i Frankrig! Som opfølgning på besøg af @EmmanuelMacron i august, har Danmark og Frankrig indgået en principaftale, som bl.a. fjerner den urimelige dobbeltbeskatning. Det er sund fornuft. #dkpol https://www.skm.dk/aktuelt/presse/pressemeddelelser/2019/april/ny-dansk-fransk-dbo-vil-gavne-danske-virksomheder-og-pensionister-i-frankrig https://t.co/UmsLTwhHgW",larsloekke,https://www.skm.dk/aktuelt/presse/pressemeddelelser/2019/april/ny-dansk-fransk-dbo-vil-gavne-danske-virksomheder-og-pensionister-i-frankrig,https://www.skm.dk/aktuelt/presse/pressemeddelelser/2019/april/ny-dansk-fransk-dbo-vil-gavne-danske-virksomheder-og-pensionister-i-frankrig,https://t.co/UmsLTwhHgW,https://twitter.com/larsloekke/status/1122879751549485056/photo/1,1.4074074074074074
Lars Løkke Rasmussen,larsloekke,173925,2019-04-28 17:02:49 EET,Tweet,549,23,https://twitter.com/larsloekke/status/1122516526173773824,"Flot, flot, flot @jakob_fuglsang 🇩🇰🚴‍♂️",larsloekke,,,,,2.763285024154589
Lars Løkke Rasmussen,larsloekke,173800,2019-04-27 22:29:51 EET,Tweet,5,0,https://twitter.com/larsloekke/status/1122236436487528448,"@stille1234 @Kildegaardens Jo, en forandring af levetidsindekseringen efter 2040 kræver en ændring af det eksisterende forlig. Men der er også lidt tid at løbe på ...",larsloekke,,,,,-41.6
Lars Løkke Rasmussen,larsloekke,173800,2019-04-27 22:26:48 EET,Tweet,17,0,https://twitter.com/larsloekke/status/1122235667889704960,@zonic_cs @astralisgg 👍,larsloekke,,,,,-12.235294117647058
Lars Løkke Rasmussen,larsloekke,173800,2019-04-27 13:01:22 EET,Tweet,84,4,https://twitter.com/larsloekke/status/1122093373081489408,"@PerClausen3 @Hansalyse @jakobandresen @mielouiseraatz @DRNyheder Så vælger du vist bevidst at misforstå mig. Tager kraftigt afstand for ham og hans synspunkter, men de har floreret i meget lang tid - det var desværre reaktionerne på Nørrebro, der pludselig gav det mediemæssige genlyd, at han nu kan stille op.",larsloekke,,,,,-2.3636363636363638
Lars Løkke Rasmussen,larsloekke,173800,2019-04-27 10:39:48 EET,Link,710,62,https://twitter.com/larsloekke/status/1122057747556704256,Glæder mig til at besøge @astralisgg på tirsdag. https://twitter.com/kulturmin/status/1122027671347658757,larsloekke,https://twitter.com/kulturmin/status/1122027671347658757,https://twitter.com/kulturmin/status/1122027671347658757,,,7.08256880733945
Lars Løkke Rasmussen,larsloekke,173609,2019-04-25 11:13:32 EET,Tweet,86,24,https://twitter.com/larsloekke/status/1121341460257886209,RT @troelslundp: Historisk aftale i nat om stærkt styrket arbejdsmiljøindsats. 460 mio kr ekstra til Arbejdstilsynet - mere målrettede tils…,larsloekke,,,,,-1.9
Lars Løkke Rasmussen,larsloekke,173609,2019-04-25 11:12:08 EET,Tweet,728,27,https://twitter.com/larsloekke/status/1121341106904608768,"RT @aahlers: Da jeg holdt oplæg på @CBScph i tirsdags, blev jeg spurgt:”Tommy, hvornår bliver din lov stemt igennem, så jeg kan prøve min b…",larsloekke,,,,,3.61244019138756
Lars Løkke Rasmussen,larsloekke,173609,2019-04-25 10:27:34 EET,Tweet,144,0,https://twitter.com/larsloekke/status/1121329892702945280,"@DenKorteKirsten @ReimerboC @Sorenlippert Øv, vi har da ellers både bestilt og betalt for en varm stol. Nægter simpelthen at være kold i r.... 😄",larsloekke,,,,,-1.4513888888888888
Lars Løkke Rasmussen,larsloekke,173609,2019-04-25 10:15:13 EET,Tweet,24,11,https://twitter.com/larsloekke/status/1121326786082746369,RT @regeringDK: Et godt arbejdsmiljø er helt afgørende for et velfungerende arbejdsmarked og det danske velfærdssamfund. Derfor er der indg…,larsloekke,,,,,-5.9714285714285715
Lars Løkke Rasmussen,larsloekke,173609,2019-04-25 09:31:05 EET,Photo,46,7,https://twitter.com/larsloekke/status/1121315680735907842,Glæder mig til at komme i den varme stol hos Søren Dahl på lørdag 🎙️ https://t.co/0ljK7jc9qE,larsloekke,https://t.co/0ljK7jc9qE,https://twitter.com/larsloekke/status/1121315680735907842/photo/1,,,-2.2452830188679247
Lars Løkke Rasmussen,larsloekke,173548,2019-04-24 23:05:21 EET,Tweet,68,3,https://twitter.com/larsloekke/status/1121158208788287489,@Trinedenmark @headspaceDK Og jeg har stor respekt for dit arbejde. Bliver kun større efter at have læst dette om din baggrund.,larsloekke,,,,,-2.943661971830986
Lars Løkke Rasmussen,larsloekke,173548,2019-04-24 21:30:47 EET,Tweet,628,30,https://twitter.com/larsloekke/status/1121134407404879878,RT @PiaOlsen: Smuk tale af Danmarks statsminister @larsloekke til mindehøjtideligheden for Sri Lanka. Hans tale sluttede med ordene størst…,larsloekke,,,,,3.148325358851675
Lars Løkke Rasmussen,larsloekke,173447,2019-04-23 14:27:37 EET,Tweet,380,19,https://twitter.com/larsloekke/status/1120665529029734402,RT @aahlers: SU-loven er nu ændret så fribeløbet er hævet med 1.000 kr for alle og vi har indført handicaptillæg på erhvervsuddannelserne.…,larsloekke,,,,,1.9090909090909092
Lars Løkke Rasmussen,larsloekke,173447,2019-04-23 14:26:23 EET,Tweet,35,11,https://twitter.com/larsloekke/status/1120665215929077760,"RT @regeringDK: ”Når vi fører regeringens plan ud i livet, vil både borgere og erhvervsliv spilde mindre tid i kø,” sagde statsministeren t…",larsloekke,,,,,-4.543478260869565
Lars Løkke Rasmussen,larsloekke,173447,2019-04-23 12:09:22 EET,Tweet,24,0,https://twitter.com/larsloekke/status/1120630734388174848,@gmitchew Holdt pressemøde den 20/12 kl. 8.30 - altså morgenen efter det blev kendt som terror. Så igen: hvad bilder du dig egentlig ind?,larsloekke,,,,,-8.708333333333334
