Account,User Name,Followers at Posting,Created,Type,Likes,Retweets,URL,Message,Screen Name,Link 1,Final Link 1,Link 2,Final Link 2,Score
Marlene Harpsøe,MarleneHARPSOEE,1912,2019-05-01 15:31:28 EET,Tweet,6,1,https://twitter.com/MarleneHARPSOEE/status/1123580700983275521,"FGU for Helsingør, Fredensborg og Hørsholm har fået nyt navn: FGU Øresund. Vi er SÅ glade for vores nye navn, som kommende medarbejdere har foreslået. Øresund er en del af vores lokale identitet, og derfor passer navnet super godt til os #uddpol #fgu #FlereGladeUnge",MarleneHARPSOEE,,,,,-1.4285714285714286
Marlene Harpsøe,MarleneHARPSOEE,1912,2019-05-01 15:22:30 EET,Link,0,1,https://twitter.com/MarleneHARPSOEE/status/1123578444766486528,Stort tillykke til vores nye nordsjællandske uddannelsesinstitution Unord. Fedt at se at I er gået sammen. Nu får I med garanti flere muskler til bl.a. gode erhvervsuddannelser i Nordsjælland. Tillykke! #skolechat #uddpol http://hilleroed.lokalavisen.dk/nyheder/2019-04-30/-S%C3%A5-er-fusion-p%C3%A5-plads-Esnord-og-Knord-bliver-til-UNord-4794810.html,MarleneHARPSOEE,http://hilleroed.lokalavisen.dk/nyheder/2019-04-30/-S%C3%A5-er-fusion-p%C3%A5-plads-Esnord-og-Knord-bliver-til-UNord-4794810.html,http://hilleroed.lokalavisen.dk/nyheder/2019-04-30/-S%C3%A5-er-fusion-p%C3%A5-plads-Esnord-og-Knord-bliver-til-UNord-4794810.html,,,-8.0
Marlene Harpsøe,MarleneHARPSOEE,1912,2019-05-01 15:19:22 EET,Tweet,43,12,https://twitter.com/MarleneHARPSOEE/status/1123577652378513408,"RT @Kristianthdahl: Skipper har en pointe! Enten må S opsige velfærdsforliget, eller også må de blive mere konkrete - inden et valg! #dkpol…",MarleneHARPSOEE,,,,,5.5
Marlene Harpsøe,MarleneHARPSOEE,1914,2019-04-30 09:49:48 EET,Tweet,22,6,https://twitter.com/MarleneHARPSOEE/status/1123132328979632128,"RT @Thorkild_Olesen: Tak for god dialog og oprigtig interesse fra @Kristianthdahl, @AdsbolAdsbl og @JThulesen. Vi besøgte Campus Vejle, hvo…",MarleneHARPSOEE,,,,,2.8
Marlene Harpsøe,MarleneHARPSOEE,1910,2019-04-26 15:23:17 EET,Tweet,4,1,https://twitter.com/MarleneHARPSOEE/status/1121766702692302849,@mattiastesfaye Jeg har fået samme spørgsmål. Første gang måtte jeg grave i hukommelsen for at huske hvem det nu lige var 🤔,MarleneHARPSOEE,,,,,-2.2
Marlene Harpsøe,MarleneHARPSOEE,1910,2019-04-26 15:16:05 EET,Tweet,15,6,https://twitter.com/MarleneHARPSOEE/status/1121764888718794752,RT @HannePontop: TAK til @Spolitik @Enhedslisten @SFpolitik @DanskDf1995 og @alternativet_! Der er et akut behov for at hjælpe #VUC sektore…,MarleneHARPSOEE,,,,,1.9090909090909092
Marlene Harpsøe,MarleneHARPSOEE,1907,2019-04-26 05:55:02 EET,Tweet,6,1,https://twitter.com/MarleneHARPSOEE/status/1121623695930216448,@MFjeppejakobsen @ClausKvist_DF @metteabildgaard @WeissPernille @berlingske Ikke morsomt 😬,MarleneHARPSOEE,,,,,-1.5714285714285714
Marlene Harpsøe,MarleneHARPSOEE,1907,2019-04-25 14:51:04 EET,Photo,7,1,https://twitter.com/MarleneHARPSOEE/status/1121396205823700993,Danmarks bedste kage: en Slettenstang❤️ Fås kun hos Brødsnedkeren. Den emmer af barndom og hyggestunder med min mormor og morfar ❤️ og så smager den fantastisk😀👍🏻 https://t.co/dWqLoVqtQK,MarleneHARPSOEE,https://t.co/dWqLoVqtQK,https://twitter.com/MarleneHARPSOEE/status/1121396205823700993/photo/1,,,-1.25
Marlene Harpsøe,MarleneHARPSOEE,1905,2019-04-23 18:18:13 EET,Link,7,3,https://twitter.com/MarleneHARPSOEE/status/1120723558550917122,En fantastisk dag 😃👍🏻 #dkpol #eud https://twitter.com/jthulesen/status/1120648243493462016,MarleneHARPSOEE,https://twitter.com/jthulesen/status/1120648243493462016,https://twitter.com/jthulesen/status/1120648243493462016,,,1.25
Marlene Harpsøe,MarleneHARPSOEE,1905,2019-04-23 12:13:40 EET,Tweet,116,15,https://twitter.com/MarleneHARPSOEE/status/1120631816719826944,RT @Pia_Kjaersgaard: Folketinget holder i dag kl. 13.00 et minuts stilhed i Folketingssalen for terrorofrene i Sri Lanka #dkpol,MarleneHARPSOEE,,,,,11.909090909090908
