Account,User Name,Followers at Posting,Created,Type,Likes,Retweets,URL,Message,Screen Name,Link 1,Final Link 1,Link 2,Final Link 2,Score
Anders Samuelsen,anderssamuelsen,58297,2019-05-01 07:41:48 EET,Tweet,117,13,https://twitter.com/anderssamuelsen/status/1123462502606626817,"I dag vil en samlet venstrefløj forlange, at folk der arbejder skal løbe endnu hurtigere, så de kan beskatte dem endnu mere, så “der kan blive råd til mere velfærd”. #dkpol #hvemskalnubetale",anderssamuelsen,,,,,1.5476190476190477
Anders Samuelsen,anderssamuelsen,58297,2019-05-01 07:10:18 EET,Tweet,17,1,https://twitter.com/anderssamuelsen/status/1123454577762869248,Rigtig go 1. maj til alle 😊 #dkpol,anderssamuelsen,,,,,-4.666666666666667
Anders Samuelsen,anderssamuelsen,58266,2019-04-30 16:49:53 EET,Photo,59,8,https://twitter.com/anderssamuelsen/status/1123238045254340608,Rigtig go 1. maj i morgen! ✅ Samlet gevinst af skattelettelser: 12.000 kr årligt for en LO-familie med 2 børn. Fordi I har fortjent anerkendelse! ✅ Vi fejrer det med 22 pokaler - én for hver milliard skatten er lettet med! Kh Danmarks sande arbejderparti #dkpol #1maj https://t.co/IBcx5KvhVO,anderssamuelsen,https://t.co/IBcx5KvhVO,https://twitter.com/anderssamuelsen/status/1123238045254340608/photo/1,,,1.2641509433962264
Anders Samuelsen,anderssamuelsen,58266,2019-04-30 14:20:07 EET,Tweet,183,95,https://twitter.com/anderssamuelsen/status/1123200357558046720,Closely following dramatic events in Caracas. Denmark reiterates its recognition of the President of the National Assembly @jguaido as the interim President of #Venezuela in accordance with the Venezuelan constitution. The Maduro regime must stop its violent suppression #dkpol,anderssamuelsen,,,,,3.159090909090909
Anders Samuelsen,anderssamuelsen,58251,2019-04-29 11:58:54 EET,Tweet,30,2,https://twitter.com/anderssamuelsen/status/1122802428011864065,"Mange, mange år senere døde hun. Under hendes begravelse faldt Bernhard død om - ugen efter blev de så begravet sammen.",anderssamuelsen,,,,,-2.8125
Anders Samuelsen,anderssamuelsen,58251,2019-04-29 11:52:39 EET,Tweet,54,5,https://twitter.com/anderssamuelsen/status/1122800855261089792,Inden evt negativ valgkamp går igang: Hvad er din bedste/ sjoveste osv oplevelse med en dansk politiker? Min første var at opleve Bernhard Baunsgaards omsorg for sin kone (sad i køreskole hele sit liv/ var altid med ham). De kom i mit barndomshjem og han bar hende ind. #dkpol,anderssamuelsen,,,,,-1.5254237288135593
Anders Samuelsen,anderssamuelsen,58251,2019-04-29 11:44:20 EET,Tweet,2,0,https://twitter.com/anderssamuelsen/status/1122798764471848961,"@CasparDyb Fra Berlingske: 66 procent af de adspurgte økonomer svarer, at en lavere topskat enten er »fuldstændig selvfinansierende,« eller i »overvejende grad selvfinansierende« set over en tiårig periode",anderssamuelsen,,,,,-45.0
Anders Samuelsen,anderssamuelsen,58251,2019-04-29 11:43:22 EET,Tweet,1,0,https://twitter.com/anderssamuelsen/status/1122798520518488066,"@CasparDyb Bla overvismand Hans Jørgen Whitta-Jacobsen er sammen med en kollega i en forskningsartikel kommet frem til, at det kunne være noget nær gratis.",anderssamuelsen,,,,,-90.0
Anders Samuelsen,anderssamuelsen,58226,2019-04-28 20:51:09 EET,Tweet,7,1,https://twitter.com/anderssamuelsen/status/1122573984925671424,"@simonkollerup @Torstenschack @venstredk Den dag folketinget, incl S, vælger at agere rationelt i nationens interesse bliver topskatten fjernet. Og registreringsafgiften. Og også den deltidsansatte sosu får en skattelettelse på 20.000 om året. Som tak og respekt for indsatsen.",anderssamuelsen,,,,,-11.375
Anders Samuelsen,anderssamuelsen,58226,2019-04-28 20:18:25 EET,Tweet,135,6,https://twitter.com/anderssamuelsen/status/1122565748872941569,"Topskatten er en formålsløs misundelsesskat, der ikke bidrager med ret meget til den offentlige velfærd. Ja førende økonomer at tæt på at den reelt bidrager med intet til den offentlige velfærd, da den tager så meget økonomisk luft ud af 🇩🇰 at det går i 0. Væk med den. #dkpol",anderssamuelsen,,,,,1.5494505494505495
