Account,User Name,Followers at Posting,Created,Type,Likes,Retweets,URL,Message,Screen Name,Link 1,Final Link 1,Link 2,Final Link 2,Score
Mette Gjerskov,MetteGjerskov,10779,2019-05-02 07:54:12 EET,Photo,19,1,https://twitter.com/MetteGjerskov/status/1123828010388533248,"Jeg ved det. Det er en kliché. Baby + politiker. Men mormoren fortalte, at hun synger 'Når jeg ser et rødt flag smælde' som vuggevise for lille Alma. Dét kunne jeg ikke stå for! ❤️ #NæsteGenerationSocialdemokraterErSikret #dkpol https://t.co/lT7AEqNBeR",MetteGjerskov,https://t.co/lT7AEqNBeR,https://twitter.com/MetteGjerskov/status/1123828010388533248/photo/1,,,1.0
Mette Gjerskov,MetteGjerskov,10771,2019-04-30 07:56:58 EET,Link,407,20,https://twitter.com/MetteGjerskov/status/1123103930974724096,Og faderens bemærkning: ‘Ellers kan du jo ikke komme hjem igen’. Det er klasse ❤️❤️❤️🇩🇰🇩🇰🇩🇰 dkpol https://twitter.com/aladhami/status/1122526920900599814,MetteGjerskov,https://twitter.com/aladhami/status/1122526920900599814,https://twitter.com/aladhami/status/1122526920900599814,,,12.93939393939394
Mette Gjerskov,MetteGjerskov,10769,2019-04-29 12:23:19 EET,Tweet,6,3,https://twitter.com/MetteGjerskov/status/1122808572092538881,"RT @saschafaxe: @PaulaLarrain1 Kan fx anbefale ‘Valgsang’ på Osted Fri- og efterskole 7. maj kl 19, hvor Liselott Blixt, @MetteGjerskov, @l…",MetteGjerskov,,,,,-7.111111111111111
Mette Gjerskov,MetteGjerskov,10754,2019-04-24 06:29:20 EET,Tweet,9,4,https://twitter.com/MetteGjerskov/status/1120907551112159237,RT @gerlevih: Husk din nabo under armen - og kom til Gerlev d. 14. maj. Vi glæder os til venskabelig og vedkommende valgdebat med @Sten_Knu…,MetteGjerskov,,,,,-4.923076923076923
Mette Gjerskov,MetteGjerskov,10754,2019-04-23 07:15:57 EET,Photo,15,2,https://twitter.com/MetteGjerskov/status/1120556897499865088,"Politik handler om samtale. Sammen finder vi de bedste løsninger - dem, der også holder i længden. Kære MF-kolleger: jeg glæder mig til samarbejdet efter valget! #dkpol #sammen @spol https://t.co/Zc2evtG3vP",MetteGjerskov,https://t.co/Zc2evtG3vP,https://twitter.com/MetteGjerskov/status/1120556897499865088/photo/1,,,-2.176470588235294
Mette Gjerskov,MetteGjerskov,10754,2019-04-23 07:01:25 EET,Tweet,210,14,https://twitter.com/MetteGjerskov/status/1120553239840272384,"RT @KristianMadsen: Hatten af for Soc.Dems nye kampagne, der spiller på alle øvrige partiers annoncer som invitation til samarbejde. Jeg er…",MetteGjerskov,,,,,3.5
Mette Gjerskov,MetteGjerskov,10726,2019-04-09 13:37:56 EET,Link,33,8,https://twitter.com/MetteGjerskov/status/1115579592851513344,RT @SMSerup: Det er alligvel et nybrud i #dkpol at begå den slags regnestykker... https://twitter.com/Marchen_Neel/status/1115530623974821888,MetteGjerskov,https://twitter.com/Marchen_Neel/status/1115530623974821888,https://twitter.com/Marchen_Neel/status/1115530623974821888,,,1.2058823529411764
Mette Gjerskov,MetteGjerskov,10726,2019-04-09 13:37:55 EET,Tweet,398,36,https://twitter.com/MetteGjerskov/status/1115579592469831681,"RT @hansersej: Mindes ikke nogensinde at have set et #dkpol-pressemøde, der handler så meget om hvad ens politiske modstandere vil, og så l…",MetteGjerskov,,,,,6.78125
Mette Gjerskov,MetteGjerskov,10705,2019-03-29 09:39:51 EET,Link,14,4,https://twitter.com/MetteGjerskov/status/1111533413532610560,"Længere straffe for dit og dat? Husk lige denne her, når du forlanger længere fængselsstraffe. #IndsatteManglerAnsatte #dkpol @spol https://www.dr.dk/nyheder/regionale/fyn/faengsler-mangler-personale-den-vaerste-krise-i-kriminalforsorgens-historie",MetteGjerskov,https://www.dr.dk/nyheder/regionale/fyn/faengsler-mangler-personale-den-vaerste-krise-i-kriminalforsorgens-historie,https://www.dr.dk/nyheder/regionale/fyn/faengsler-mangler-personale-den-vaerste-krise-i-kriminalforsorgens-historie,,,-1.8888888888888888
Mette Gjerskov,MetteGjerskov,10700,2019-03-23 10:23:57 EET,Tweet,24,5,https://twitter.com/MetteGjerskov/status/1109370182210854912,"RT @saschafaxe: Afsoning af dom, flere i samme celle, flerårige varetægt, manglende tilbud ved depression og mange andre ting blev jeg klog…",MetteGjerskov,,,,,-2.206896551724138
Mette Gjerskov,MetteGjerskov,10694,2019-03-20 12:46:11 EET,Tweet,125,53,https://twitter.com/MetteGjerskov/status/1108318814511468544,"RT @LRisgaard: Nu lancerer FH en ‘live’-nedskæringstæller, der viser @regeringDK nedskæringer på uddannelse. Foreløbig har vi rundet 6 mia…",MetteGjerskov,,,,,2.78125
Mette Gjerskov,MetteGjerskov,10687,2019-03-19 19:17:44 EET,Link,165,5,https://twitter.com/MetteGjerskov/status/1108054963983396866,Alle kan komme i en ekstraordinær situation. Mange forældre kan en enkelt gang tage barnet med på arbejde - hvis det er muligt af hensyn til arbejdet. Det er det i Folketinget. Så måske Pia Kjærsgaard skulle slappe lidt af og glæde sig over en ny generation. #dkpol #TorbenErGod https://twitter.com/metteabildgaard/status/1107991192262848512,MetteGjerskov,https://twitter.com/metteabildgaard/status/1107991192262848512,https://twitter.com/metteabildgaard/status/1107991192262848512,,,5.0
Mette Gjerskov,MetteGjerskov,10687,2019-03-19 18:41:06 EET,Link,2,1,https://twitter.com/MetteGjerskov/status/1108045743225556992,"Cellerne ligger i kælderen på gammeldags manér, meen Arresten ligger højt, så de indsatte bliver ikke de først i Roskilde, som står i vand til knæene :-) https://twitter.com/LlabriLars/status/1108033436458143744",MetteGjerskov,https://twitter.com/LlabriLars/status/1108033436458143744,https://twitter.com/LlabriLars/status/1108033436458143744,,,-11.333333333333334
Mette Gjerskov,MetteGjerskov,10687,2019-03-19 17:47:44 EET,Link,8,1,https://twitter.com/MetteGjerskov/status/1108032314964090880,Også de indsatte i Roskilde Arrest er bekymrede over klimaforandringerne... https://faengselsforbundet.dk/fagbladet-net/fangerne-i-roskilde-arrest-er-bekymrede-for-den-globale-opvarmning/ #dkpol @Spolitik,MetteGjerskov,https://faengselsforbundet.dk/fagbladet-net/fangerne-i-roskilde-arrest-er-bekymrede-for-den-globale-opvarmning/,https://faengselsforbundet.dk/fagbladet-net/fangerne-i-roskilde-arrest-er-bekymrede-for-den-globale-opvarmning/,,,-3.7777777777777777
Mette Gjerskov,MetteGjerskov,10678,2019-03-17 08:44:04 EET,Link,241,53,https://twitter.com/MetteGjerskov/status/1107170718675075072,RT @BosseStine: Hvid terror .... lyt til dette interview og vær vågne. Lys vågne. #dkpol https://twitter.com/joshscampbell/status/1106985657312772096,MetteGjerskov,https://twitter.com/joshscampbell/status/1106985657312772096,https://twitter.com/joshscampbell/status/1106985657312772096,,,8.647058823529411
Mette Gjerskov,MetteGjerskov,10671,2019-03-15 16:15:06 EET,Tweet,216,67,https://twitter.com/MetteGjerskov/status/1106559452138868742,"RT @LRisgaard: Vi bliver hverken rigere eller klogere af, at @regeringDK har skåret over 6 MILLIARDER kroner på uddannelse siden 2015! #dkp…",MetteGjerskov,,,,,4.421875
Mette Gjerskov,MetteGjerskov,10671,2019-03-15 12:17:17 EET,Tweet,5,3,https://twitter.com/MetteGjerskov/status/1106499602725945345,"RT @RavnP: Klimaet - kan vi nå det? Kom til debat i Roskilde på tirsdag. Med @MetteGjerskov @jacobjensenMF @Fjalland @PeterTanev, biskoppen…",MetteGjerskov,,,,,-8.0
Mette Gjerskov,MetteGjerskov,10671,2019-03-15 12:14:09 EET,Tweet,16,8,https://twitter.com/MetteGjerskov/status/1106498812233830401,RT @KirkensKorshaer: På mandag kl. 19 i Byens Hus i Roskilde stiller KK mf.l. spørgsmålet: HVAD VIL I GØRE FOR SOCIALT UDSATTE? @MetteGjers…,MetteGjerskov,,,,,-2.6666666666666665
Mette Gjerskov,MetteGjerskov,10660,2019-03-12 13:59:58 EET,Tweet,58,26,https://twitter.com/MetteGjerskov/status/1105438277816016897,"RT @perchristen3F: Kan I huske 2010-11, da højrefløjen inkl. @radikale & @DanskDf1995 i praksis fjernede nedslidte, kortuddannede lønmodtag…",MetteGjerskov,,,,,1.3125
Mette Gjerskov,MetteGjerskov,10652,2019-03-08 12:07:03 EET,Photo,323,18,https://twitter.com/MetteGjerskov/status/1103960311042924549,"Madeleine Albright sagde, at der er en særlig plads i helvede for kvinder, der ikke hjælper andre kvinder. Gu’ ve’ hvad hun ville tænke om dette opslag? #dkpol @Spolitik #8M2019 https://t.co/PeOZLjyDDh",MetteGjerskov,https://t.co/PeOZLjyDDh,https://twitter.com/MetteGjerskov/status/1103960311042924549/photo/1,,,10.333333333333334
Mette Gjerskov,MetteGjerskov,10641,2019-03-04 17:08:56 EET,Tweet,5,0,https://twitter.com/MetteGjerskov/status/1102586732288098305,"@mortenskaerbaek @PerClausen3 @Spolitik Jeg foretrækker lige at vente på en evt dom, inden jeg konkluderer. Af hensyn til tredelingen af magten og den slags, du ved😀",MetteGjerskov,,,,,-12.8
